ABCB1	ARID1A	0.01686287052865876
ABCB1	CBL	0.040521820581262594
ABCB1	CNOT6L	0.0147478709400777
ABCB1	COPS9	0.023636078028729388
ABCB1	EZH2	0.015346953999959471
ABCB1	GPS2	0.06792614824814015
ABCB1	HMGB1	0.016615937334774813
ABCB1	MTF2	0.04538493187965918
ABCB1	PSMB8	0.019621433603537186
ABCB1	PTEN	0.027887961224650974
ABCB1	RAC1	0.011907545263064938
ABL1	CBL	0.04535218100375006
ABL1	CDKN2A	0.012169028994611288
ABL1	CHUK	0.012376530734130607
ABL1	COPS9	0.021133001630280677
ABL1	GPS2	0.05624910451727681
ABL1	MTF2	0.044668806560172206
ABL1	PTEN	0.012016405264733864
ABL1	PTPA	0.011572507021144762
ABL1	TRAT1	0.015189981806542262
AKT3	CBL	0.051030610121247044
AKT3	CDC25A	0.012352748139888924
AKT3	CNOT6L	0.012884802625660548
AKT3	COPS9	0.02231271629009704
AKT3	EP300	0.02352763335890536
AKT3	GPS2	0.06042857210862942
AKT3	MTF2	0.03780718036855979
AKT3	NOTCH1	0.010565637367013736
AKT3	PARG	0.01086889968725495
AKT3	PTEN	0.020042317488183376
AKT3	YWHAZ	0.014846844378682274
ARID1A	CBL	0.050816553641093345
ARID1A	CDC25A	0.01539254934153221
ARID1A	CDC25C	0.016812955080419564
ARID1A	CDC45	0.011075521396144126
ARID1A	CDK4	0.014876067525973488
ARID1A	CKS2	0.014920329282849738
ARID1A	CNOT6L	0.01644592639295925
ARID1A	COPS9	0.02402138164948444
ARID1A	E2F2	0.02127021658787965
ARID1A	EZH2	0.012919217292504163
ARID1A	FGFR2	0.01461250684918695
ARID1A	GPS2	0.0416879301127636
ARID1A	KEAP1	0.014313696503350452
ARID1A	MAPK3	0.011509905698413977
ARID1A	MCM7	0.019176697166979915
ARID1A	MTF2	0.03458789316274624
ARID1A	NOTCH1	0.018214063901282163
ARID1A	NR1D1	0.0126224823171993
ARID1A	PCNA	0.010733983122281236
ARID1A	PTEN	0.017864985665488085
ARID1A	RAD52	0.013007079714752123
ARID1A	SUMO1	0.01903630772769404
ARID1A	TMEM199	0.012144521343532687
ARID1A	YWHAE	0.011455435168238149
ATM	CBL	0.01949899130717441
ATM	GPS2	0.027151729156400038
ATMIN	CBL	0.04029507170106378
ATMIN	COPS9	0.030955013202618863
ATMIN	EP300	0.016786677320669314
ATMIN	EZH2	0.014328718305876873
ATMIN	GPS2	0.0601421047078179
ATMIN	GPX4	0.013708381529938543
ATMIN	MTF2	0.03484971535697348
ATMIN	PTEN	0.01168355729882805
AUNIP	CBL	0.03940051139789726
AUNIP	COPS9	0.018062943188584524
AUNIP	GPS2	0.04574258244039254
AUNIP	MTF2	0.024488752473387724
AUNIP	PTEN	0.015709605142868975
AUNIP	SUMO1	0.0115469410850311
BABAM1	CBL	0.029288880486849102
BABAM1	COPS9	0.022997766950956913
BABAM1	E2F2	0.011803139763204063
BABAM1	EZH2	0.01689855266103356
BABAM1	GPS2	0.04971058721111943
BABAM1	MTF2	0.026030813810290914
BABAM1	PTEN	0.0192916899863787
BAP1	MTF2	0.03684398898879188
BRIP1	CBL	0.01079571206280245
BRIP1	GPS2	0.029959727209594222
CAND1	CBL	0.024733284868783064
CAND1	GPS2	0.0378991654304393
CAND1	MTF2	0.024995594754934104
CASC3	CBL	0.012230454464803977
CASC3	GPS2	0.02107078369711384
CBL	CCNB1	0.035274824908871225
CBL	CCNE1	0.04828716385071086
CBL	CD28	0.04179805558636604
CBL	CDC25A	0.04880150571441835
CBL	CDC25C	0.044787377575186124
CBL	CDC45	0.03830050565868806
CBL	CDK2	0.013701548951244225
CBL	CDK4	0.04372924923163447
CBL	CDKN2A	0.027539018988108004
CBL	CHD1L	0.0188809966422357
CBL	CHEK2	0.05001313797561186
CBL	CHUK	0.052999861265399136
CBL	CKS2	0.04161356321198351
CBL	CNOT6L	0.051201569029930866
CBL	COPS9	0.070476846050356
CBL	CREBBP	0.04033085940261415
CBL	CSNK2A1	0.03012397854476319
CBL	E2F2	0.032708704838451216
CBL	EME1	0.018944236242391565
CBL	EP300	0.04950527225227164
CBL	ERBB2	0.03135365961390616
CBL	ERCC1	0.0235226900599738
CBL	ESR1	0.03773872724632416
CBL	EXO1	0.01645454327270634
CBL	EZH2	0.056958356930462944
CBL	FAAP100	0.039430175726155814
CBL	FANCE	0.028017403433823473
CBL	FANCL	0.019148052485752014
CBL	FGFR2	0.041565695218160684
CBL	FOXM1	0.02341623837107386
CBL	GATAD2A	0.014009257659815961
CBL	GPS2	0.08665677716641676
CBL	GPX4	0.03991005769736231
CBL	GTF3C5	0.02873716309427391
CBL	H2AFX	0.011350307817734075
CBL	HDAC1	0.013352960224255988
CBL	HDAC3	0.038063250892283296
CBL	HELLS	0.03663030243425977
CBL	HMGB1	0.04458980687083762
CBL	HMGB2	0.0327343868634086
CBL	HNRNPDL	0.03893482026712054
CBL	HPF1	0.03551865779651508
CBL	KEAP1	0.04467510307039385
CBL	KMT2C	0.05079037807811003
CBL	KRAS	0.02685506317056249
CBL	LIG4	0.01891386921982295
CBL	LIN37	0.0211113477557999
CBL	MAD2L2	0.038219131608319454
CBL	MAPK3	0.04588487305951033
CBL	MCM7	0.03524835070161645
CBL	MLH1	0.04450391225834528
CBL	MTF2	0.0678663136839806
CBL	MUS81	0.03719918120368501
CBL	MYC	0.01952444528433154
CBL	NHEJ1	0.012527880701302691
CBL	NOTCH1	0.04270243070185249
CBL	NR1D1	0.041396668694190814
CBL	PARG	0.047126109132047664
CBL	PARP2	0.042334017289700564
CBL	PAXIP1	0.024654246755441596
CBL	PCNA	0.03545729358858544
CBL	PDS5B	0.057022162898846235
CBL	PIK3CA	0.03526175043407655
CBL	PNKP	0.02088662972934665
CBL	PNRC2	0.0277295426267299
CBL	POLB	0.046438698334074976
CBL	POLD4	0.03680796131920715
CBL	POLE3	0.029864922562236426
CBL	POLQ	0.02583412746020189
CBL	PPP2R5A	0.01938800335579776
CBL	PRELID1	0.029811536432758315
CBL	PRKDC	0.04285153351162155
CBL	PRMT1	0.037938859015715434
CBL	PSMA4	0.011957489803934837
CBL	PSMB8	0.048577430150750965
CBL	PSMD10	0.042942727505870706
CBL	PTEN	0.05919068692824081
CBL	PTPA	0.04911978365464981
CBL	PUM1	0.018047709013795335
CBL	RAC1	0.0449789616315403
CBL	RAD18	0.023733595776601474
CBL	RAD52	0.047326539304525655
CBL	RCOR1	0.011412168361054617
CBL	RFC2	0.026389627113335125
CBL	RMI2	0.0149179058701925
CBL	RNASEH2A	0.013758360673841737
CBL	RNF168	0.044892300027567
CBL	SLFN11	0.037691630405169686
CBL	SMARCAL1	0.03748067352795091
CBL	SMG5	0.022476310540333236
CBL	SMG6	0.04401834297565914
CBL	SPIDR	0.019452448271073286
CBL	SS18L2	0.04322940427684145
CBL	SUMO1	0.04932892892202044
CBL	TMEM199	0.039305784314095746
CBL	TOP3A	0.021939115318421624
CBL	TP53	0.04917388343015686
CBL	TRAT1	0.045365305725141525
CBL	UBC	0.04486241963039924
CBL	UIMC1	0.0466697710236691
CBL	UPF3A	0.03253883365669405
CBL	UPF3B	0.028513484501329636
CBL	WRAP53	0.015859977602836764
CBL	XRCC4	0.04345656372797612
CBL	YWHAE	0.039718262946620224
CBL	YWHAZ	0.05448391162600025
CBL	ZC3H3	0.015525797127400761
CBL	ZNF407	0.039753395369693134
CCNB1	GPS2	0.04957111947022386
CCNB1	MTF2	0.014787106388777138
CCNE1	COPS9	0.01342596217967575
CCNE1	GPS2	0.050358845345083406
CCNE1	MTF2	0.016378235426814637
CCNE1	PTEN	0.016317355563173094
CD28	COPS9	0.03673006449942433
CD28	EP300	0.012751584860116773
CD28	GPS2	0.054003023443578116
CD28	MTF2	0.0344286177547978
CD28	NOTCH1	0.011935137761813888
CD28	PTEN	0.027340496756151175
CD28	RAD52	0.012687681266981214
CD28	TMEM199	0.015663994153903724
CDC25A	CDK4	0.0113793127750973
CDC25A	CNOT6L	0.019853956359674164
CDC25A	COPS9	0.03743606473607219
